,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet,sentiment
0,2504973930,2022-12-01 23:52:28+00:00, ,1598465081238749186,in,0,0.1,0.2,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
1,471832814,2022-12-01 23:38:21+00:00, ,1598461531641253888,in,0,0,0,12,"RT @juliusibrani: #RKUHP membahayakan Advokat dan Pencari Keadilan yg menghadapi hakim, pengadilan, dan persidangan yg msh bobrok dan korup…",1
2,1213931120737153024,2022-12-01 23:37:35+00:00, ,1598461339579879425,in,0,0,0,15,"RT @KangCendol_33: Pembahasan RKUHP sudah melalui proses dan mendengarkan berbagai masukan dari masyarakat.
Keterlibatan masyarakat dalam m…",5
3,1465198073852817408,2022-12-01 23:35:43+00:00, ,1598460868718899200,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
4,1189240370804117505,2022-12-01 23:33:56+00:00, ,1598460418481324032,in,16,1,3,15,"Pembahasan RKUHP sudah melalui proses dan mendengarkan berbagai masukan dari masyarakat.
Keterlibatan masyarakat dalam memberikan masukan dlm pembahasan RKUHP sdh dilakukan oleh Pemerintah.
RKUHP jg dapat di akses secara Daring oleh masyarakat sehingga semua transparan ✔️✔️ https://t.co/UZEbjJxgrj",5
5,1125746940296040448,2022-12-01 23:30:29+00:00, ,1598459551371915264,in,0,0,0,61,RT @dustclavier: pribadinya yang menemukan celah rkuhp https://t.co/f0DoZRa6Vu,1
6,1183925737834729472,2022-12-01 23:29:19+00:00, ,1598459256927580173,in,0,0,0,7,"RT @YoutubeILC: NARASUMBER #ILC PENGESAHAN RKUHP TINGGAL MENGHITUNG HARI, KENAPA MASIH BANYAK PROTES?! // LINK 👉 https://t.co/Enz1kncRWU (I…",1
7,73352802,2022-12-01 23:24:34+00:00, ,1598458060338786308,in,0,0,0,41,"RT @Mythicalforest: ""Di mana bumi dipijak, di situ langit dijunjung""

Kalau aturannya seperti RKUHP yang justru mengukuhkan impunitas korpo…",1
8,57090404,2022-12-01 23:16:28+00:00, ,1598456024109051907,in,0,0,0,93,"RT @AJIIndonesia: RKUHP: Cara Jitu Oligarki Nyusahin Rakyat.
#SemuaBisaKena kecuali Polisi, Penguasa dan Buzzernya.

#MosiTidakPercaya
#Sem…",1
9,1371463969743982594,2022-12-01 23:15:50+00:00, ,1598455862179557376,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
10,67796818,2022-12-01 23:04:54+00:00, ,1598453111987011585,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
11,177984555,2022-12-01 23:02:57+00:00, ,1598452623245705216,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
12,596216213,2022-12-01 23:01:46+00:00, ,1598452324183461888,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
13,1439701579276251136,2022-12-01 23:00:10+00:00, ,1598451921412837379,in,20,2,3,15,"Draf final RKUHP sudah dilaporkan ke Presiden Jokowi dan akan disahkan dalam hitungan hari. Dalam draf itu, tidak disebutkan bahwa LGBT sebagai tindak pidana.

#UsirLGBTDariIndonesia
#UsirLGBTDariIndonesia

https://t.co/zKWbFbSJ62",1
14,74651542,2022-12-01 22:57:00+00:00, ,1598451124369252353,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
15,1393363555416633347,2022-12-01 22:45:49+00:00, ,1598448309030768640,in,0,0,0,0,"@BRA4GA @ArnoldPoernomo Salah bang, karena uda ada RUU untuk penghinaan ""penguasa umum"" jadi yang bukan penguasa dicabut supaya yg bisa diproses cuma yg ngehina pemguasa aja itung2 ngirit tenaga bikin BAP. 🤣🤣🤣

https://t.co/0ip9PdwyxC",1
16,1458193514714439691,2022-12-01 22:44:17+00:00, ,1598447925537001489,in,1,0,0,0,Fakta RKUHP menjunjung tinggi demokrasi dan kebebasan berpendapat mengkritik pemerintah tidak bisa dipenjara. https://t.co/wNuC8klLEJ,1
17,596216213,2022-12-01 22:43:26+00:00, ,1598447709538910208,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
18,1041343627790757888,2022-12-01 22:40:48+00:00, ,1598447047736451073,in,0,0,0,93,"RT @AJIIndonesia: RKUHP: Cara Jitu Oligarki Nyusahin Rakyat.
#SemuaBisaKena kecuali Polisi, Penguasa dan Buzzernya.

#MosiTidakPercaya
#Sem…",1
19,923912430354231296,2022-12-01 22:37:27+00:00, ,1598446203506941952,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
20,1458193514714439691,2022-12-01 22:37:09+00:00, ,1598446129821241371,in,0,0,0,0,"Dalam RKUHP ada 3 poin yang telah dibahas dan alami perubahan yaitu living law, pidana mati dan pencemaran nama baik. Dalam konstitusi tetap jamin kebebasan berekspresi dan berpendapat. https://t.co/dGpCvVE5gD",1
21,131775292,2022-12-01 22:36:08+00:00, ,1598445873570406400,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
22,1458193514714439691,2022-12-01 22:33:57+00:00, ,1598445325043355656,in,0,0,0,0,"Penyerangan harkat dan martabat jadi presiden atau wakil presiden sudah diberikan uraian dalam rapat komisi tiga DPR dengan pemerintah, dukung RKUHP disahkan. https://t.co/aDf4h5VwXy",1
23,778029618,2022-12-01 22:28:27+00:00, ,1598443940939984896,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
24,1089948408691838976,2022-12-01 22:18:12+00:00, ,1598441359761113089,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
25,779810335351984128,2022-12-01 22:13:33+00:00, ,1598440188954677248,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
26,1492018092058484739,2022-12-01 22:00:31+00:00, ,1598436910359523329,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
27,51939228,2022-12-01 21:51:47+00:00, ,1598434714163249153,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
28,2362560528,2022-12-01 21:51:14+00:00, ,1598434573955670018,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
29,239272814,2022-12-01 21:46:50+00:00, ,1598433465489559553,in,0,0,0,31,"RT @kaderhijaumu: RKUHP: Cara Jitu Oligarki Nyusahin Rakyat.

#SemuaBisaKena kecuali Polisi, Penguasa dan Buzzernya. 
Banyak pasal bermasal…",1
30,1575778181058945024,2022-12-01 21:40:35+00:00, ,1598431891497308160,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
31,150176206,2022-12-01 21:36:11+00:00, ,1598430784289148929,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
32,1456884368157208583,2022-12-01 21:33:59+00:00, ,1598430234193580033,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
33,764638784,2022-12-01 21:33:18+00:00, ,1598430062323564544,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
34,3232298971,2022-12-01 21:25:22+00:00, ,1598428063641251841,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
35,22126902,2022-12-01 21:20:22+00:00, ,1598426807178448897,in,0,0,0,0,GMNI kritik Rancangan Kitab Undang-undang Hukum Pidana  https://t.co/DKppgYUKp1,1
36,2564173279,2022-12-01 21:13:35+00:00, ,1598425097207177216,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
37,1511028562698321920,2022-12-01 20:52:26+00:00, ,1598419778108297216,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
38,1511028562698321920,2022-12-01 20:51:20+00:00, ,1598419501388660737,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
39,933040362,2022-12-01 20:42:10+00:00, ,1598417191388356608,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
40,1078607352507424769,2022-12-01 20:41:15+00:00, ,1598416961784152065,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
41,2331235970,2022-12-01 20:35:44+00:00, ,1598415573783744512,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
42,1141273318122672129,2022-12-01 20:26:54+00:00, ,1598413348605153280,in,0,0,0,41,"RT @catchmeupid: RKUHP akan disahkan dalam waktu dekat, meski terdapat sejumlah pasal yang dipermasalahkan, pemerintah tetap tancap gas aga…",3
43,1266909258420899841,2022-12-01 20:24:27+00:00, ,1598412735536336896,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
44,1562025922454495232,2022-12-01 20:22:34+00:00, ,1598412259243724801,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
45,1292732350493675520,2022-12-01 20:19:03+00:00, ,1598411373251280897,in,0,0,0,50,RT @FraksiRakyatID: Bingung kenapa banyak pihak menolak pengesahan Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP)? Ngga tau mau mulai c…,1
46,51348359,2022-12-01 20:15:45+00:00, ,1598410545543073792,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
47,1348456270055948293,2022-12-01 20:13:20+00:00, ,1598409936610164736,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
48,122944110,2022-12-01 20:00:49+00:00, ,1598406785567584257,in,0,0,0,93,"RT @AJIIndonesia: RKUHP: Cara Jitu Oligarki Nyusahin Rakyat.
#SemuaBisaKena kecuali Polisi, Penguasa dan Buzzernya.

#MosiTidakPercaya
#Sem…",1
49,1524352083650289665,2022-12-01 19:55:06+00:00, ,1598405348263886850,in,0,0,0,44,"RT @muslimahnewscom: Pandangan lain diungkapkan Chandra Putra Irawan, S.H., M.H. selaku Ketua LBH Pelita Umat dalam acara yang sama. Ia men…",1
50,1220604388818866176,2022-12-01 19:40:55+00:00, ,1598401777455759360,in,0,0,0,7,"RT @YoutubeILC: NARASUMBER #ILC PENGESAHAN RKUHP TINGGAL MENGHITUNG HARI, KENAPA MASIH BANYAK PROTES?! // LINK 👉 https://t.co/Enz1kncRWU (I…",1
51,1327812584242745344,2022-12-01 19:29:01+00:00, ,1598398785356431360,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
52,984748161980817409,2022-12-01 19:22:41+00:00, ,1598397191659622400,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
53,216423173,2022-12-01 19:20:22+00:00, ,1598396605795008514,in,0,0,0,41,"RT @Mythicalforest: ""Di mana bumi dipijak, di situ langit dijunjung""

Kalau aturannya seperti RKUHP yang justru mengukuhkan impunitas korpo…",1
54,1117481271549054976,2022-12-01 19:16:14+00:00, ,1598395566089994240,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
55,1156276598,2022-12-01 19:15:21+00:00, ,1598395342944600069,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
56,98545067,2022-12-01 19:14:41+00:00, ,1598395177802301440,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
57,1585248162419466241,2022-12-01 19:08:38+00:00, ,1598393652170338305,in,0,0,0,0,"Sindir Pemerintah, Aliansi Nasional Reformasi KUHP Luncurkan 'RKUHP: Panduan Mudah #TibaTibaDiPENJARA' https://t.co/UhbLBtB2Um",1
58,349276378,2022-12-01 19:07:23+00:00, ,1598393339988312064,in,0,0,0,28,RT @kr1t1kp3d45_pro: RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam…,1
59,1538840851178491904,2022-12-01 19:05:43+00:00, ,1598392919358001153,in,45,3,3,28,"RKUHP ini sama seperti Omnibus Law CILAKA (UU CK) &amp; UU Minerba produk hukum Oligarki untuk menguasai Sumber Daya Alam dan menyelamatkan agenda bisnis dan memperkaya diri dan kelompoknya. 

Jika kita hanya diam, waduh bisa #TibaTibaPenjara dan rakyat makin sengsara ‼️ https://t.co/lhPMCfCv2E",1
60,1191387008012189699,2022-12-01 19:00:03+00:00, ,1598391492821012481,in,0,0,0,5,"RT @Syarman59: Dukung disahkannya RKUHP menjadi KUHP Nasional ⚖
https://t.co/Vpl4ZMlh03",1
61,297321870,2022-12-01 18:55:51+00:00, ,1598390435281801216,in,0,0,0,50,RT @FraksiRakyatID: Bingung kenapa banyak pihak menolak pengesahan Rancangan Kitab Undang-Undang Hukum Pidana (RKUHP)? Ngga tau mau mulai c…,1
62,718664137920753664,2022-12-01 18:55:18+00:00, ,1598390299516366849,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
63,297321870,2022-12-01 18:54:12+00:00, ,1598390021597573120,in,0,0,0,4,RT @amnestyindo: [BREAKING] Mari desak pemerintah dan DPR RI untuk menunda pengesahan RKUHP hingga seluruh pasal yang melanggar HAM dihapus…,1
64,297321870,2022-12-01 18:54:07+00:00, ,1598390000940634114,in,0,0,0,4,"RT @amnestyindo: [BREAKING] Para narasumber menyatakan terdapat beberapa isu krusial yang membuat pengesahan RKUHP wajib ditunda, seperti p…",1
65,297321870,2022-12-01 18:54:00+00:00, ,1598389969743405056,in,0,0,0,6,"RT @amnestyindo: [BREAKING] Lebih jauh lagi, jika RKUHP yang bermasalah ini disahkan, maka upaya pemerintah dan DPR RI untuk membuat aturan…",1
66,297321870,2022-12-01 18:53:52+00:00, ,1598389938026065920,in,0,0,0,14,RT @amnestyindo: [BREAKING] @AksiKamisan hari ini membahas perihal upaya pemerintah dan DPR RI untuk menuntaskan pelanggaran HAM berat masa…,1
67,3966645804,2022-12-01 18:50:45+00:00, ,1598389153670246400,in,0,0,0,14,RT @amnestyindo: [BREAKING] @AksiKamisan hari ini membahas perihal upaya pemerintah dan DPR RI untuk menuntaskan pelanggaran HAM berat masa…,1
68,186230496,2022-12-01 18:50:42+00:00, ,1598389142966403073,in,0,0,0,0,"Sindir Pemerintah, Aliansi Nasional Reformasi KUHP Luncurkan 'RKUHP: Panduan Mudah #TibaTibaDiPENJARA' https://t.co/QfHjQ0vCHj",1
69,2421762716,2022-12-01 18:50:01+00:00, ,1598388969573560320,in,17,0,1,7,"NARASUMBER #ILC PENGESAHAN RKUHP TINGGAL MENGHITUNG HARI, KENAPA MASIH BANYAK PROTES?! // LINK 👉 https://t.co/Enz1kncRWU (INDONESIA LAWYERS CLUB) https://t.co/Sm0IHNlf96",1
70,61207307,2022-12-01 18:40:34+00:00, ,1598386591978094593,in,0,0,0,874,"RT @madisnur: Pasal 256  RKUHP secara langsung melarang rakyat u/ berdemonstrasi, u/ menyampaikan pendapat di muka umum

Ketika anda turun…",1
