,Unnamed: 0,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,tweet,sentiment
0,0,384946427,2022-07-01 22:09:23+00:00, ,1542993797386309632,in,0,0.1,0.2,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
1,1,1162778749928128514,2022-07-01 21:55:07+00:00, ,1542990205744971778,in,0,0.0,0.0,16,RT @habeeb_sambo: Nasrun minallahi https://t.co/CCZuyUIiE9,1
2,2,266930441,2022-07-01 19:48:00+00:00, ,1542958218518855687,in,0,0.0,0.0,1,RT @ibrozira: @dawisu @abalasambo jikan sambo ga naku.,1
3,3,99164780,2022-07-01 19:27:42+00:00, ,1542953109336559620,in,1,0.0,1.0,1,@dawisu @abalasambo jikan sambo ga naku.,1
4,4,124876510,2022-07-01 19:11:10+00:00, ,1542948946238181376,in,0,0.0,0.0,0,Sambo https://t.co/H0kre2dyRu,3
5,5,569020659,2022-07-01 19:08:35+00:00, ,1542948296443969536,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
6,6,569020659,2022-07-01 19:08:09+00:00, ,1542948189162164226,in,0,0.0,0.0,4,"RT @habeeb_sambo: Matasan mu da kaddaran shaye-shaye ya fada musu,da ikon Allah zamu hada karfi da hukumomin da abin ya shafa wurin rehabil…",1
7,7,569020659,2022-07-01 19:08:04+00:00, ,1542948166382788609,in,0,0.0,0.0,3,"RT @habeeb_sambo: Jihar mu jiha ce mai aiki da shari’ar musulunci, don haka Allah ya daura ma shugabanni hakkin gyaran tarbiyyan al’umma, a…",1
8,8,569020659,2022-07-01 19:07:23+00:00, ,1542947994584113153,in,0,0.0,0.0,16,RT @habeeb_sambo: Nasrun minallahi https://t.co/CCZuyUIiE9,1
9,9,497008047,2022-07-01 18:56:30+00:00, ,1542945256995540992,in,0,0.0,0.0,0,@imad_sambo @Halal_Match Ai Gaskiya ce😅,1
10,10,1176116064855482369,2022-07-01 18:53:15+00:00, ,1542944438732951552,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
11,11,918376434,2022-07-01 18:38:41+00:00, ,1542940774790201344,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
12,12,932487765991845888,2022-07-01 18:13:12+00:00, ,1542934358897606656,in,2,0.0,0.0,0,@Denzel_Sambo @holytenmusic @Voltz_JT Wasirira takura,5
13,13,266930441,2022-07-01 18:04:21+00:00, ,1542932133181902851,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
14,14,861924983358054400,2022-07-01 17:59:24+00:00, ,1542930888102748165,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
15,15,1410193843,2022-07-01 17:47:46+00:00, ,1542927960839184390,in,0,0.0,0.0,9,"RT @habeeb_sambo: Al’ummar mu suna chikin matsananchin talauci wanda karyewar tattallin arziki ya haifar, da ikon Allah in mun samu nasara…",1
16,16,1410193843,2022-07-01 17:47:22+00:00, ,1542927860314284035,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
17,17,202423599,2022-07-01 17:43:15+00:00, ,1542926825004957696,in,0,0.0,0.0,9,"RT @habeeb_sambo: Al’ummar mu suna chikin matsananchin talauci wanda karyewar tattallin arziki ya haifar, da ikon Allah in mun samu nasara…",1
18,18,1083996094953078784,2022-07-01 17:42:59+00:00, ,1542926757745119233,in,0,0.0,0.0,16,RT @habeeb_sambo: Nasrun minallahi https://t.co/CCZuyUIiE9,1
19,19,1521632640692068353,2022-07-01 17:39:07+00:00, ,1542925780912586753,in,0,0.0,0.0,9,RT @habeeb_sambo: Daga cikin abubuwan da suka kara haifar da wannan masifaffen talauci da al’ummar mu ke chiki shine kananan hukomomin mu (…,1
20,20,1028504160260435968,2022-07-01 17:24:54+00:00, ,1542922203997409281,in,0,0.0,1.0,0,@aravo_sambo Yaarra intha mentalu,1
21,21,132808558,2022-07-01 17:22:59+00:00, ,1542921720893423616,in,0,0.0,0.0,9,"RT @habeeb_sambo: Al’ummar mu suna chikin matsananchin talauci wanda karyewar tattallin arziki ya haifar, da ikon Allah in mun samu nasara…",1
22,22,411632889,2022-07-01 17:18:50+00:00, ,1542920679485480960,in,0,0.0,0.0,9,"RT @habeeb_sambo: Al’ummar mu suna chikin matsananchin talauci wanda karyewar tattallin arziki ya haifar, da ikon Allah in mun samu nasara…",1
23,23,1247177866418274304,2022-07-01 17:13:56+00:00, ,1542919446062370816,in,0,0.0,0.0,9,"RT @habeeb_sambo: Al’ummar mu suna chikin matsananchin talauci wanda karyewar tattallin arziki ya haifar, da ikon Allah in mun samu nasara…",1
24,24,1215978204734861312,2022-07-01 17:13:47+00:00, ,1542919407181172738,in,0,0.0,0.0,9,"RT @habeeb_sambo: Al’ummar mu suna chikin matsananchin talauci wanda karyewar tattallin arziki ya haifar, da ikon Allah in mun samu nasara…",1
25,25,802571947783688192,2022-07-01 17:12:26+00:00, ,1542919068260245510,tl,0,0.0,1.0,0,@aravo_sambo Yaru na Playboy ah 😭😭,1
26,26,1481492705884708866,2022-07-01 17:12:22+00:00, ,1542919049977405442,in,0,0.0,2.0,0,"@habeeb_sambo @dawisu @Iam_Musteey @muhammad_ddm @MuhammadNazeerr @fadila_zarma @ibn_aleey @yahaya_abdulahi @Nazirdanhajiya @MuawuyahKende Allah Ubangiji ya shiga lamuran ka
Ina maka fatan nasara",1
27,27,1251741697316278272,2022-07-01 17:11:03+00:00, ,1542918717905960961,in,0,0.0,1.0,0,@aravo_sambo Already etho oru channel pannirukanunga,5
28,28,1539850125916667904,2022-07-01 17:10:46+00:00, ,1542918648691511297,in,0,0.0,1.0,0,@aravo_sambo Thalaya thalapathya qn ku waiting,1
29,29,802571947783688192,2022-07-01 17:05:43+00:00, ,1542917378861776898,in,0,0.0,1.0,0,@aravo_sambo Magi nu oruthan Yaru nu therla,1
30,30,449534339,2022-07-01 16:59:38+00:00, ,1542915846149922816,in,0,0.0,0.0,3,"RT @habeeb_sambo: Jihar mu jiha ce mai aiki da shari’ar musulunci, don haka Allah ya daura ma shugabanni hakkin gyaran tarbiyyan al’umma, a…",1
