,Anies Baswedan
0,"[0.508982, 101.4419654470019]"
1,"[0.68321875, 123.04960640352026]"
2,"[3.591874, 98.63498624923128]"
3,"[-2.36994065, 106.14388175591753]"
4,"[-3.591728, 102.47093014465307]"
5,"[0.6734458000000001, 122.25438773223794]"
6,"[-8.594915, 117.27168981603674]"
7,"[-3.3211695, 104.3911398700065]"
8,"[-8.455513799999999, 115.27045996223404]"
9,"[-0.9130145000000001, 100.35778291980972]"
10,"[-6.4373915, 106.11482883008443]"
11,"[-0.479155, 111.1098948073475]"
12,"[-1.3850959999999999, 113.43891962295146]"
13,"[-0.23158, 130.840537459932]"
14,"[-2.131675557328293, 106.10914667432428]"
15,"[3.59612115, 98.57899677673629]"
16,"[5.5120512, 95.29192686238518]"
17,"[-0.4629835, 100.58046442559524]"
18,"[-1.6216042, 103.64590550212465]"
19,"[-7.261417, 112.74461295503801]"
20,"[-6.2329840999999995, 106.84826549594328]"
21,"[-5.3777376, 105.28679044090437]"
22,"[-7.8741955, 110.41345204954955]"
23,"[-8.509896000000001, 120.59804724977135]"
24,"[22.2954383, 39.11674986326468]"
25,"[-2.0235754999999997, 105.2037831899428]"
26,"[-6.26657085, 106.70854417983708]"
27,"[-4.9996191, 119.53279689531114]"
28,"[-6.11417565, 106.76914776897894]"
29,"[-6.19118875, 106.89584332366263]"
30,"[-37.9725599375, 145.15252629070534]"
31,"[21.585649099999998, 39.26493447078151]"
32,"[-3.81617935, 102.31316785134824]"
